time,taxx
2010-01-01,387
2010-02-01,1214
2010-03-01,1871
2010-04-01,2372
2010-05-01,2944
2010-06-01,3492
2010-07-01,3982
2010-08-01,4601
2010-09-01,5110
2010-10-01,5576
2010-11-01,6307
2010-12-01,7772
2011-01-01,505
2011-02-01,1399
2011-03-01,2001
2011-04-01,2667
2011-05-01,3394
2011-06-01,4009
2011-07-01,4618
2011-08-01,5276
2011-09-01,5977
2011-10-01,6646
2011-11-01,7380
2011-12-01,8713
2012-01-01,656
2012-02-01,1604
2012-03-01,2357
2012-04-01,3003
2012-05-01,3691
2012-06-01,4334
2012-07-01,4850
2012-08-01,5482
2012-09-01,6071
2012-10-01,6815
2012-11-01,7516
2012-12-01,8832
2013-01-01,532
2013-02-01,1444
2013-03-01,1996
2013-04-01,2565
2013-05-01,3232
2013-06-01,3862
2013-07-01,4513
2013-08-01,5221
2013-09-01,5843
2013-10-01,6428
2013-11-01,7224
2013-12-01,8591
2014-01-01,439
2014-02-01,1340
2014-03-01,1979
2014-04-01,2543
2014-05-01,3135
2014-06-01,3843
2014-07-01,4412
2014-08-01,5243
2014-09-01,5953
2014-10-01,6613
2014-11-01,7492
2014-12-01,9054
2015-01-01,495
2015-02-01,1537
2015-03-01,2179
2015-04-01,2823
2015-05-01,3902
2015-06-01,4716
2015-07-01,5705
2015-08-01,6853
2015-09-01,7647
2015-10-01,8437
2015-11-01,9395
2015-12-01,11113
2016-01-01,709
2016-02-01,1831
2016-03-01,2473
2016-04-01,3264
2016-05-01,3973
2016-06-01,4819
2016-07-01,5659
2016-08-01,6609
2016-09-01,7431
2016-10-01,8194
2016-11-01,9276
2016-12-01,11112
2017-01-01,1007
2017-02-01,2102
2017-03-01,3244
2017-04-01,4041
2017-05-01,5010
2017-06-01,5877
2017-07-01,6796
2017-08-01,7890
2017-09-01,8758
2017-10-01,9580
2017-11-01,10577
2017-12-01,12945
2018-01-01,1113
2018-02-01,2837
2018-03-01,4206
2018-04-01,5430
2018-05-01,6672
2018-06-01,7917
2018-07-01,9100
2018-08-01,10275
2018-09-01,11256
2018-10-01,12160
2018-11-01,13295
2018-12-01,15473
2019-01-01,871
2019-02-01,2416
2019-03-01,3585
2019-04-01,4614
2019-05-01,5658
2019-06-01,6699
2019-07-01,7802
2019-08-01,8939
2019-09-01,9952
2019-10-01,10959
2019-11-01,12293
2019-12-01,15474
2020-01-01,843
2020-02-01,2193
2020-03-01,3517
2020-04-01,4699
2020-05-01,6097
2020-06-01,8167
2020-07-01,10088
2020-08-01,12098
2020-09-01,14011
2020-10-01,16284
2020-11-01,18128
2020-12-01,22735
